vote_id,title,policy,final_vote
1,Tuesday - request by the GUE/NGL group,Foreign & security policy,True
2,Situation at the USA-Mexican border,Foreign & security policy,False
3,Situation at the USA-Mexican border,Foreign & security policy,False
4,Situation at the USA-Mexican border,Foreign & security policy,False
5,Situation at the USA-Mexican border,Foreign & security policy,False
6,Situation at the USA-Mexican border,Foreign & security policy,False
7,"Russia, notably the situation of environmental activists and Ukrainian political prisoners",Foreign & security policy,False
8,Situation in Venezuela,Foreign & security policy,False
9,Situation in Venezuela,Foreign & security policy,False
10,Situation in Venezuela,Foreign & security policy,True
11,Changes to the agenda - request by Greens/EFA and GUE/NGL,Environment & public health,True
12,Changes to the agenda - request by ID and GUE/NGL,Economic & monetary affairs,True
13,Changes to the agenda - request by EPP,Culture & education,True
14,Launch of automated data exchange with regard to vehicle registration data in Ireland,"Civil liberties, justice & home affairs",True
15,Draft Amending budget No 1/2019: surplus from 2018,Budget,True
16,Draft Amending budget No 2/2019: reinforcement of key programme for EU competitiveness: Horizon 2020 and Erasmus+,Budget,True
17,"Mobilisation of the European Union Solidarity Fund to provide assistance to Romania, Italy and Austria",Budget,True
18,"Draft Amending budget No 3/2019: proposal to mobilise the European Union Solidarity Fund to provide assistance to Romania, Italy and Austria",Budget,True
19,Mobilisation of the European Globalisation Adjustment Fund - EGF/2019/000 TA 2019 - Technical assistance at the initiative of the Commission,Budget,True
20,The UK’s withdrawal from the EU,Constitutional and inter-institutional affairs,False
21,The UK’s withdrawal from the EU,Constitutional and inter-institutional affairs,False
22,The UK’s withdrawal from the EU,Constitutional and inter-institutional affairs,True
23,"Situation in Turkey, notably the removal of elected mayors",Foreign & security policy,False
24,"Situation in Turkey, notably the removal of elected mayors",Foreign & security policy,False
25,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals",Foreign & security policy,False
26,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals",Foreign & security policy,False
27,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals",Foreign & security policy,True
28,Importance of European remembrance for the future of Europe,Culture & education,False
29,Importance of European remembrance for the future of Europe,Culture & education,False
30,Importance of European remembrance for the future of Europe,Culture & education,False
31,Importance of European remembrance for the future of Europe,Culture & education,False
