national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Kristdemokraterna,,0,0,,,1.0,
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1866,1866,0.003885115420485195,0.1400341696045002,0.9721678241372775,0.4192274536102582
,Group of the Greens/European Free Alliance,0,1756,,0.13341103766674592,,0.9588861420899119
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1791,1791,0.007436895879106935,0.14023294040379328,0.9677711247434866,0.41618585422863347
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1732,1735,0.04096934543290338,0.1015295123028649,0.9505012338765941,0.39550376565174067
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1990,1991,0.0291033903282647,0.03828979318148536,0.9792628453916752,0.9510638241196965
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1920,1920,0.005023583187645688,0.13781730412658758,0.966167250718032,0.4178782130853963
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1228,1230,0.012226974141972225,0.08463050652055727,0.9447480830981548,0.38900614880567425
Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,1440,1523,0.00625,0.08513071347525578,0.9891661195009849,0.7967181249230656
Bündnis 90/Die Grünen,,1472,0,0.0316216194358178,,0.9762709476949166,
Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,1841,1841,0.00841933731667572,0.015275017452439766,0.9821428571428571,0.9283713557115756
Front national,,919,0,0.008433079434167573,,0.9787333736396615,
Les Républicains,Group of the European People's Party (Christian Democrats),1923,1923,0.009193380722241877,0.02084426271976515,0.9676363158422441,0.9248623750250362
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1978,1978,0.007262796090177861,0.02437434040475841,0.9861082122690367,0.955041219573414
Sinn Fein,Confederal Group of the European United Left - Nordic Green Left,0,1813,,0.07222182330101728,,0.7892252751366565
Miljöpartiet de gröna,Group of the Greens/European Free Alliance,1829,1833,0.009568069983597594,0.04031239233588051,0.9832924168030551,0.9595042450176522
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1858,1858,0.003926072581885283,0.019997865956401312,0.9646156901942693,0.9537011192671889
Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1346,1793,0.0,0.02519657660257703,0.9769938650306749,0.9564490694334007
Vlaams Belang,Europe of Nations and Freedom Group,0,1899,,0.17174429407878916,,0.6501636785354284
Eesti Reformierakond,,65,0,0.0,,0.9786368260427264,
Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1805,1831,0.00554016620498615,0.025859791322548783,0.9908519934462042,0.9526961825798645
Partido Popular,,138,0,0.5184738721423504,,0.9781232261225047,
Christlich Soziale Partei,Group of the European People's Party (Christian Democrats),0,1933,,0.051123556757337464,,0.923409340035198
Rassemblement national,Europe of Nations and Freedom Group,1951,1951,0.010931265044540289,0.00939529265619206,0.9794603589644594,0.6533041960291027
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1913,1928,0.05052349169592643,0.12438996944755629,0.9540348175439402,0.41362283317816395
Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe,570,1829,0.0,0.03372097237894242,0.9872881355932204,0.9271365004562007
Conservative Party,Group of the European People's Party (Christian Democrats),1790,1790,0.18067149382231884,0.2745080871070551,0.9206459838172506,0.9244997052296983
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1828,1828,0.009878086902156923,0.011702448766774343,0.9791770865895593,0.9535776434556043
,Europe of Nations and Freedom Group,0,1490,,0.22934990210961897,,0.6551051930580692
Socialistisk Folkeparti,Group of the Greens/European Free Alliance,0,1803,,0.014392654016320105,,0.9566514428932152
